2N3N1/8/4NNN1/8/7R/k7/NN2N1NR/1R4N1,b2c4 
NN1N3N/1N1N1NNN/N3N1N1/N7/6NR/2k5/R2N3N/NR1RN3,d2b1 d2e4 
kN2N3/5N1R/2N2N1N/N7/4N3/N7/2N2N2/1R6,e8c7 
6k1/R7/NN4N1/8/8/8/8/1N3R1R,g6e7 
N1NNR1R1/RN4N1/N1N2k2/RN6/N1N5/N2N1N1N/1NN1N1N1/NN3NNN,g7h5 g7e8 
k2N4/N6R/2N5/1N6/1N5N/1NN2NN1/2NNN3/NRNN2NN,b5c7 
R1N4N/2kN1N1N/7R/N7/N1N3N1/N4NN1/1N3N1N/NRNR2N1,a3b5 
2N2k2/R7/5N1N/8/4N3/3N4/3N1N2/N3R1R1,f6d7 f6h7 
R1R2N2/1N4NN/3N2NN/7R/Nk2N1N1/5N1R/3N3N/N4N2,a1c2 
1R1R2NN/1N1N1NNN/N1N1N1NN/N1N1N2N/R1N3N1/1NkN1N1N/2N3NR/N6N,c5a4 c5e4 
NN1N4/3N3N/1N5R/N1N1Nk2/1N4NR/3N3N/NN3N1N/NN2R1R1,g4e3 g4h6 
1R4NN/N3NNNR/k2N1NNN/5N1R/4N3/2N2N2/3N1N2/N2N4,e4c5 
2k5/7R/2N1N3/8/8/6N1/3N4/1R1R1N2,c6a7 c6e7 
1N3RNR/6N1/5N2/7N/1NN5/NN2N1N1/RNN5/N5k1,g3e2 
3Nk3/7R/1N6/5N2/N7/8/8/3R1R2,f5d6 f5g7 
4N3/1NN1N3/8/6NN/1N5R/1k2N3/7R/R1R5,b7a5 b7c5 
6N1/2N5/N3N3/R7/N5k1/R1N3N1/8/N4R1R,g8f6 g8h6 
1N2R2N/1N6/R2N3N/3k2N1/3N3R/1N4N1/3N1N1N/2RN3N,d1c3 d1e3 
3NRNRN/NNNNNNN1/4N1N1/N2N1N2/N1N5/RN3N2/3NNkN1/RN6,d2e4 
3kN3/6NR/8/8/7N/8/8/2R1R3,g7e6 
N6N/2N3NR/1Nk2N1N/6NR/4NN1N/N2NN2N/1N1N2NN/1R1R1N1N,d3b4 d3e5 
NR1RNN1N/1N1NNNN1/N1N1N3/N4N2/7R/1Nk4N/7R/N4N2,e7d5 
7R/RN6/6kN/R7/1N2N3/1NN4N/2N2N2/2NN1RN1,h3f4 
N1NRNRN1/4N2N/4N3/8/6N1/1NN4N/7R/N3k2N,a1c2 
1N1RNR2/1N1NN1NN/NN1N1NN1/NN1N4/8/1NN3NN/R7/NN1NkN2,a1c2 
2N1N3/3N4/7N/N1N5/R7/7k/R5NN/2N3R1,g2f4 
2NNNR2/5N1N/N1N5/N7/R7/4k3/7R/3R4,a5c4 
1R6/7R/2k5/7R/8/1N6/3N1N2/1N1R4,b3d4 b3a5 
1N6/7N/2N3NR/1k5N/1N5R/3N4/3N1N1N/R1R1N1NN,c6d4 c6a7 
1NN1NRNR/N1NN2NN/1NNN2NN/N1N2N2/1N2N1N1/1N1NN1N1/RNN5/6k1,g3e2 
3N1N2/N2N3N/N5NN/N7/7R/1Nk4N/R5N1/1R1R3N,a7b5 
NNNN2N1/1N1N1NNN/1N4N1/4NN1N/2N3NR/1Nk4N/2N3NR/NR1RNN1N,b6a4 b6d5 
2R1R3/8/8/R2N4/3k1N2/R2N3N/8/8,f4e2 f4e6 
N2k4/3N3R/5NN1/5N1N/NNN1N1N1/NNNN1N1N/NNNNN2N/2RNR2N,b4c6 
N1NNN1R1/2N2N1N/1NN1N3/RNNNN2N/NNN1N2k/RN6/NNN1N3/8,e5f3 e5g6 
1NNN1N2/4N1N1/1N3NN1/2N4N/6NR/kN6/6NR/1RNN2N1,b6c4 
R1R4N/1N4NR/NkN1N3/1N3NNR/3N2NN/3N3N/1N3NNN/6NN,b2a4 b2c4 
5NN1/4N3/2N4R/1k2N3/7R/4N3/1N6/R1R1N3,c6d4 c6a7 
3NN3/3N3N/1N1N4/RN5N/N1N3Nk/RN6/1NN5/6R1,d6f5 
1N1R4/8/7N/N1N5/7R/2k5/R1N5/1R6,c5a4 c5e4 
3N3k/R7/1N6/N7/NNN5/N1N2N1N/2NN3N/2N3R1,d8f7 
1NR2N1N/NN3N2/R2N3N/N1NkN1N1/R6N/NN3NN1/1N1N1N1N/N1NNR1NN,d1c3 d1e3 
1N2N3/R6N/N1N3Nk/R2N4/N2NN3/NN6/1N1N4/N1NN2R1,d4f5 
4NR1R/1NN2N2/5N2/1N6/8/R1N5/4N1k1/R7,e2f4 
2NRN3/4NN2/2N3NR/1NkN1NNN/2N4R/N3NN2/N1N1N1N1/1R4NN,g5e4 g5e6 
1RN3N1/4N3/8/4NN1N/3NNN2/2N5/NN3N1R/k2N1N2,d4c2 d4b3 
R1R2N1N/1NN1N1NN/N1N1NN2/5N2/5N2/3NN2N/1N3N1R/NkNN2N1,d1c3 
1N1NN1R1/N2N4/NNN1N3/3NNN2/1N1N3N/NN3N2/RN1N2NN/NNN4k,f5g3 
R7/3k4/7R/N7/8/N3NN2/8/2R1R3,f3e5 
4R3/N2N3N/3N4/RN2NN2/4Nk2/RN3N2/3N4/3N2RN,e5d3 e5g6 
3k3N/7R/5NN1/1N1N1N1N/2N1N1NN/N1NNN1NN/1N1N3N/NNRNRN2,h8f7 
8/RN5N/1N1N3k/RN6/1NN5/N2N3N/1N6/2N3R1,d6f5 d6f7 
3R4/7N/RN6/4k3/7R/1N4N1/N5N1/5R2,b6c4 b6d7 
N1N5/1N2N3/N3NNNN/2NN4/N2NNNNR/k2N4/5N1R/1R1N1N1N,d4c2 d4b5 
R1N3N1/7N/3N2NN/3N4/1N5R/1k2N1N1/1N2N2R/2R4N,e2c1 e2d4 
R6N/3k4/N6R/6N1/8/8/8/2R1R3,a6c5 a6b8 
3kN3/7R/6N1/1N3N2/N4N1N/2N5/NN1NNN2/1NR1RNN1,f4e6 
1N5R/R7/2N3k1/R7/1N2N3/8/8/5R2,c6e5 c6e7 
3NR3/1N6/R2N4/3k3N/3N3R/8/3N4/N1R5,h5f4 h5f6 
1NRNRN2/N1N2NN1/N1N3NN/1N3N2/1N3NN1/3N3R/NNNk2N1/3N3R,b2c4 
N1N1NRN1/1NN5/R7/3NkN1N/R3N3/NNN3N1/2N1N1N1/NN1R1N1N,a3c4 
R1R4N/2N2NN1/2N1N3/5N2/3NNN2/7R/1k4N1/5N1R,f4d3 
3Nk2N/1N5R/7N/2N1N3/7N/4NN1N/1N3N1N/1N1R1RNN,b7d6 
7R/5kN1/5N1R/3N4/3NNN1N/N7/7N/1NN1R1R1,e4g5 e4d6 
NN2NN1N/N1N4N/1NN1N3/N7/RNN5/1N1N1NkN/RN4N1/NNNN1R1R,c1e2 
NN6/NNN4N/R1N4N/1NN1N2k/R2N4/NN2N3/N1N4N/1NNNN1R1,h7f6 
4NR1R/2N5/RNN5/N5kN/RNN3N1/N7/4N1N1/2NN4,c7e6 
RN1N2N1/1N1N2NN/5N1R/Nk2N1N1/1N5R/4N2N/1N3NNN/N1R1N1N1,b7d6 
2NNR1RN/1NNN4/5NN1/1N3N1N/8/7R/4Nk2/RN6,f6e4 f6g4 
1R5N/8/1N5R/k7/7R/7N/8/3N4,b6c4 
1N3N1R/Nk2N1N1/1N2NN1R/6NN/1N1N2NN/4NN2/1N2NNNN/R1RNNNN1,e6c5 e6d8 
1N3NNN/2N3NN/N6N/2N4R/1Nk4N/RNN3NN/N3NN1N/1RNRN2N,b3d2 b3a5 
1NN5/5N2/5N2/8/2N4R/2k5/R7/1R1RN2N,f6e4 f6d5 
6R1/2N5/2N5/RNN5/NN4Nk/RN1N4/7N/8,h2f3 
N3N3/8/NN2N2R/3NkN1N/R7/1N4NN/6N1/NN1R1R2,b6c4 b6d7 
7N/N4NN1/5N1N/8/7R/k7/7R/1RN5,a7b5 
1NN3R1/1N6/2N5/8/RN4N1/N6k/RN6/2N2N2,g4f2 
3N3N/1N1NN3/2N2NN1/4NN2/RN6/7k/R1N4N/N4NR1,g6f4 
1N1NRNRN/N2NNN2/NNN1N1N1/1N1NN2N/N1N5/RN3N2/N1N2kN1/RN3N2,e5d3 e5g4 
N4N1R/1k3N2/7R/3N4/7N/N1N5/NNN5/RNR4N,f7d6 f7d8 
N3N3/1NN3N1/N3N2R/1N1NkN1N/N6R/1NN4N/N1N1N3/N2RNR1N,e1d3 e1f3 
2RNR1NN/2N1NN1N/2N1NNN1/1N5N/N5N1/R2N4/N2k2N1/3N3R,f6e4 
8/2N4R/1NkN4/R4N2/N7/N3N1NN/8/1RNR2N1,f5d4 f5e7 
3N1NR1/8/8/3N4/RNNN4/NNN4k/RN5N/N3N3,d5f4 
3Nk3/7R/8/N1N2NN1/8/2N5/2NN4/N2R1R2,f5d6 f5g7 
1N6/3N3R/3k2N1/R6N/5N2/4NN1N/8/2R1R2N,e3c4 e3f5 
2R1RNN1/2NN2N1/2N5/2N1N3/6N1/8/7R/3k2N1,g4f2 g4e3 
5NNR/k6N/3NN2R/2NN1N1N/2N3N1/3N1N2/N2N4/NR2N3,d6b5 d6c8 
1R5N/5N2/2N5/4NN1N/R1N4N/2k2N2/R1N3N1/3R2NN,g1e2 
3NR3/7R/4Nk2/R5N1/3N4/7N/2N5/6R1,g5e4 g5h7 
2NNNkN1/1N5R/3N3N/1N3N2/8/4NN2/5N2/1N2R1R1,d8e6 
R7/N5k1/RN6/8/2N4N/2N5/2N4N/NN3RNR,h4f5 
RN5N/NNNNN1Nk/R1N4N/N1N1NN2/3N1N1N/N2NN1N1/1N6/NN1N1NR1,d7f6 d7f8 
NN2R3/7R/N1N2k2/RN6/N2N4/8/1N6/1N1N2RN,b8d7 
1N1NR3/8/5N1R/5k2/7R/1N6/N2N4/4N1R1,b3d4 
